end_date,aa_s,aa_d
2021-10-02,0.37,0.47
2021-09-18,0.37,0.48
2021-08-28,0.40,0.47
2021-08-07,0.38,0.46
2021-07-17,0.30,0.46
2021-07-17,0.38,0.46
2021-07-06,0.41,0.35
2021-06-26,0.40,0.45
2021-06-13,0.31,0.44
2021-06-08,0.39,0.36
2021-06-05,0.38,0.47
2021-05-15,0.39,0.46
2021-04-24,0.40,0.43
2021-04-12,0.39,0.34
2021-03-27,0.42,0.40
2021-03-30,0.41,0.32
2021-03-13,0.42,0.41
2021-02-20,0.38,0.45
2021-01-30,0.41,0.43
2020-12-01,0.43,0.29
2020-11-28,0.44,0.41
2020-11-06,0.43,0.39
2020-10-10,0.39,0.43
2020-09-19,0.39,0.40
2020-08-29,0.43,0.41
2020-08-09,0.44,0.30
2020-08-08,0.41,0.38
2020-07-18,0.41,0.40
2020-07-12,0.44,0.28
2020-06-27,0.42,0.40
2020-06-06,0.41,0.38
2020-06-02,0.43,0.30
2020-05-16,0.44,0.37
2020-05-05,0.42,0.27
2020-04-25,0.45,0.34
2020-04-05,0.44,0.29
2020-04-03,0.45,0.36
2020-03-14,0.40,0.40
2020-03-11,0.41,0.33
2020-02-22,0.39,0.44
2020-02-11,0.41,0.31
2020-02-01,0.43,0.40
2020-01-11,0.43,0.30
2020-01-11,0.46,0.37
2019-12-08,0.39,0.28
2019-12-08,0.40,0.41
2019-11-23,0.38,0.45
2019-11-12,0.37,0.34
2019-11-10,0.42,0.37
2019-10-20,0.37,0.44
2019-10-15,0.40,0.29
2019-09-29,0.39,0.40
2019-09-17,0.36,0.31
2019-09-07,0.35,0.40
2019-08-22,0.38,0.29
2019-08-18,0.41,0.34
2019-07-28,0.39,0.36
2019-07-21,0.39,0.24
2019-06-23,0.35,0.25